1 16  17 -25.513561 -1299.338056
1 16  18 -21.729190 -1113.423098
1 16  19 -25.602104 -1391.310817
1 16  20 -31.946491 -Inf
1 17  18 -25.335267 -959.343418
1 17  19 -23.433602 -1237.231136
1 17  20 -32.748068 -Inf
1 18  19 -26.583877 -1051.316179
1 18  20 -26.365057 -Inf
1 19  20 -24.361331 -Inf
2  -45.000000 0.000000
2 1 -14.361316 -0.173215
2 3 -30.583628 -496.045530
2 4 -16.786841 -294.698145
2 5 -19.738299 -0.397053
2 6 -28.561329 -500.805926
2 7 -14.387221 -0.165826
2 8 -13.853142 -0.191660
2 9 -24.283158 -0.240915
2 10 -30.744261 -Inf
2 11 -34.847759 -0.820382
2 12 -25.076322 -2.043120
2 13 -34.292080 -Inf
2 14 -41.042725 -632.654623
2 15 -18.707701 -0.447000
2 16 -33.513866 -Inf
2 17 -33.891657 -249.239219
2 18 -29.070783 -726.545105
2 19 -34.790263 -Inf
2 20 -43.365356 -Inf
2 1  3 -8.299167 -496.218745
2 1  4 -10.025773 -294.871361
2 1  5 -5.761844 -0.570268
2 1  6 -12.358841 -500.979141
2 1  7 -7.158857 -0.339042
2 1  8 -7.458407 -0.364875
2 1  9 -7.154133 -0.414130
2 1  10 -12.407576 -Inf
2 1  11 -6.457113 -0.993598
2 1  12 -9.489738 -2.216336
2 1  13 -12.271555 -Inf
2 1  14 -9.970127 -632.827838
2 1  15 -10.148069 -0.620215
2 1  16 -12.039071 -Inf
2 1  17 -7.372102 -249.412434
2 1  18 -13.308966 -726.718320
2 1  19 -12.991443 -Inf
2 1  20 -11.551801 -Inf
2 3  4 -11.228857 -790.743675
2 3  5 -10.274168 -496.442582
2 3  6 -9.341062 -996.851456
2 3  7 -8.021502 -496.211356
2 3  8 -8.597594 -496.237190
2 3  9 -8.931129 -496.286445
2 3  10 -16.276339 -Inf
2 3  11 -13.009400 -496.865912
2 3  12 -11.929251 -498.088650
2 3  13 -11.729257 -Inf
2 3  14 -13.213548 -1128.700153
2 3  15 -12.534710 -496.492530
2 3  16 -18.307987 -Inf
2 3  17 -15.980972 -745.284749
2 3  18 -13.805796 -1222.590634
2 3  19 -10.902339 -Inf
2 3  20 -24.421846 -Inf
2 4  5 -7.109795 -295.095198
2 4  6 -13.103988 -795.504072
2 4  7 -7.034640 -294.863972
2 4  8 -8.991385 -294.889806
2 4  9 -6.513867 -294.939061
2 4  10 -12.145451 -Inf
2 4  11 -7.542948 -295.518528
2 4  12 -12.306554 -296.741266
2 4  13 -13.536752 -Inf
2 4  14 -8.963220 -927.352768
2 4  15 -12.850644 -295.145145
2 4  16 -13.165091 -Inf
2 4  17 -9.520303 -543.937364
2 4  18 -12.576606 -1021.243250
2 4  19 -12.991186 -Inf
2 4  20 -12.381148 -Inf
2 5  6 -12.777652 -501.202979
2 5  7 -6.406035 -0.562879
2 5  8 -5.791549 -0.588713
2 5  9 -12.380636 -0.637968
2 5  10 -12.477508 -Inf
2 5  11 -8.730978 -1.217435
2 5  12 -13.907255 -2.440173
2 5  13 -14.073992 -Inf
2 5  14 -16.786413 -633.051675
2 5  15 -6.341009 -0.844052
2 5  16 -13.022331 -Inf
2 5  17 -10.738347 -249.636271
2 5  18 -12.397421 -726.942157
2 5  19 -15.121495 -Inf
2 5  20 -17.721348 -Inf
2 6  7 -10.072354 -500.971753
2 6  8 -7.004631 -500.997587
2 6  9 -15.102122 -501.046841
2 6  10 -19.098360 -Inf
2 6  11 -13.231794 -501.626309
2 6  12 -17.384286 -502.849047
2 6  13 -20.535368 -Inf
2 6  14 -19.448643 -1133.460549
2 6  15 -10.919682 -501.252926
2 6  16 -20.533188 -Inf
2 6  17 -11.399029 -750.045145
2 6  18 -18.511053 -1227.351031
2 6  19 -20.026677 -Inf
2 6  20 -20.733346 -Inf
2 7  8 -7.353097 -0.357487
2 7  9 -9.227967 -0.406742
2 7  10 -7.850861 -Inf
2 7  11 -5.770689 -0.986209
2 7  12 -9.883905 -2.208947
2 7  13 -11.239324 -Inf
2 7  14 -8.863468 -632.820449
2 7  15 -7.949091 -0.612826
2 7  16 -8.637190 -Inf
2 7  17 -7.233954 -249.405045
2 7  18 -10.042621 -726.710931
2 7  19 -11.327284 -Inf
2 7  20 -9.728947 -Inf
2 8  9 -6.213849 -0.432576
2 8  10 -9.417430 -Inf
2 8  11 -6.525304 -1.012043
2 8  12 -7.222681 -2.234781
2 8  13 -8.083012 -Inf
2 8  14 -7.814427 -632.846283
2 8  15 -9.561082 -0.638660
2 8  16 -9.153057 -Inf
2 8  17 -8.999276 -249.430879
2 8  18 -7.693321 -726.736765
2 8  19 -8.428286 -Inf
2 8  20 -11.830976 -Inf
2 9  10 -12.926409 -Inf
2 9  11 -12.856036 -1.061298
2 9  12 -16.367201 -2.284036
2 9  13 -15.864683 -Inf
2 9  14 -21.200471 -632.895538
2 9  15 -6.986499 -0.687915
2 9  16 -17.144850 -Inf
2 9  17 -9.467027 -249.480134
2 9  18 -16.289902 -726.786020
2 9  19 -16.197594 -Inf
2 9  20 -16.695560 -Inf
2 10  11 -13.733385 -Inf
2 10  12 -20.434664 -Inf
2 10  13 -23.188568 -Inf
2 10  14 -16.686186 -Inf
2 10  15 -14.287405 -Inf
2 10  16 -25.380044 -Inf
2 10  17 -16.655933 -Inf
2 10  18 -21.500635 -Inf
2 10  19 -20.598091 -Inf
2 10  20 -24.818309 -Inf
2 11  12 -11.908900 -2.863503
2 11  13 -17.637637 -Inf
2 11  14 -28.829047 -633.475005
2 11  15 -9.177128 -1.267382
2 11  16 -15.379804 -Inf
2 11  17 -18.006040 -250.059601
2 11  18 -11.325422 -727.365487
2 11  19 -21.376545 -Inf
2 11  20 -33.855310 -Inf
2 12  13 -21.167060 -Inf
2 12  14 -16.387299 -634.697743
2 12  15 -10.831313 -2.490120
2 12  16 -20.373924 -Inf
2 12  17 -12.848118 -251.282339
2 12  18 -22.753366 -728.588225
2 12  19 -21.401466 -Inf
2 12  20 -20.948916 -Inf
2 13  14 -23.385947 -Inf
2 13  15 -12.093438 -Inf
2 13  16 -23.034244 -Inf
2 13  17 -15.861542 -Inf
2 13  18 -23.043373 -Inf
2 13  19 -28.730543 -Inf
2 13  20 -28.649029 -Inf
2 14  15 -11.966923 -633.101622
2 14  16 -24.896165 -Inf
2 14  17 -19.273561 -881.893841
2 14  18 -18.449072 -1359.199727
2 14  19 -24.739393 -Inf
2 14  20 -25.826504 -Inf
2 15  16 -14.614804 -Inf
2 15  17 -12.240003 -249.686218
2 15  18 -11.129281 -726.992104
2 15  19 -12.177455 -Inf
2 15  20 -16.597867 -Inf
2 16  17 -17.453068 -Inf
2 16  18 -19.863444 -Inf
2 16  19 -23.220107 -Inf
2 16  20 -27.490348 -Inf
2 17  18 -13.399342 -975.784323
2 17  19 -18.464081 -Inf
2 17  20 -27.922254 -Inf
2 18  19 -23.442391 -Inf
2 18  20 -20.987988 -Inf
2 19  20 -27.772570 -Inf
3  -45.000000 0.000000
3 1 -31.522355 -436.391385
3 2 -24.104428 -496.045530
3 4 -29.699693 -Inf
3 5 -39.941508 -709.468982
3 6 -40.738276 -683.850236
3 7 -37.251451 -480.796204
3 8 -29.712857 -617.176899
3 9 -33.643306 -0.056765
3 10 -36.901037 -534.904978
3 11 -31.254122 -Inf
3 12 -33.509039 -498.855606
3 13 -42.289680 -Inf
3 14 -41.962136 -Inf
3 15 -29.129243 -Inf
3 16 -42.122734 -584.019222
3 17 -24.107541 -539.991755
3 18 -36.430909 -Inf
3 19 -42.546616 -649.990722
3 20 -42.637095 -569.753087
3 1  2 -21.202265 -932.436915
3 1  4 -27.036481 -Inf
3 1  5 -22.520047 -1145.860367
3 1  6 -27.009795 -1120.241621
3 1  7 -25.323473 -917.187589
3 1  8 -24.809061 -1053.568284
3 1  9 -10.529793 -436.448150
3 1  10 -20.805646 -971.296363
3 1  11 -19.180561 -Inf
3 1  12 -23.032858 -935.246991
3 1  13 -26.457398 -Inf
3 1  14 -24.012018 -Inf
3 1  15 -25.128311 -Inf
3 1  16 -22.559096 -1020.410607
3 1  17 -19.297342 -976.383140
3 1  18 -25.201854 -Inf
3 1  19 -25.939026 -1086.382107
3 1  20 -21.602433 -1006.144472
3 2  4 -23.114961 -Inf
3 2  5 -21.105864 -1205.514512
3 2  6 -20.078266 -1179.895766
3 2  7 -21.826601 -976.841734
3 2  8 -20.081152 -1113.222429
3 2  9 -14.456409 -496.102295
3 2  10 -18.278057 -1030.950508
3 2  11 -20.685119 -Inf
3 2  12 -18.510284 -994.901136
3 2  13 -19.156908 -Inf
3 2  14 -20.989690 -Inf
3 2  15 -21.738749 -Inf
3 2  16 -17.476312 -1080.064752
3 2  17 -20.630427 -1036.037285
3 2  18 -19.941907 -Inf
3 2  19 -18.615697 -1146.036252
3 2  20 -19.974400 -1065.798617
3 4  5 -18.152546 -Inf
3 4  6 -24.690414 -Inf
3 4  7 -21.555330 -Inf
3 4  8 -22.486933 -Inf
3 4  9 -13.717049 -Inf
3 4  10 -24.955065 -Inf
3 4  11 -18.446163 -Inf
3 4  12 -20.169333 -Inf
3 4  13 -27.670131 -Inf
3 4  14 -22.495073 -Inf
3 4  15 -24.093917 -Inf
3 4  16 -21.539015 -Inf
3 4  17 -18.699341 -Inf
3 4  18 -25.190850 -Inf
3 4  19 -27.091076 -Inf
3 4  20 -21.892356 -Inf
3 5  6 -28.489736 -1393.319219
3 5  7 -28.377234 -1190.265186
3 5  8 -20.404859 -1326.645882
3 5  9 -30.677387 -709.525748
3 5  10 -20.871684 -1244.373961
3 5  11 -19.016802 -Inf
3 5  12 -25.169972 -1208.324588
3 5  13 -25.551256 -Inf
3 5  14 -35.454595 -Inf
3 5  15 -20.527369 -Inf
3 5  16 -28.251731 -1293.488204
3 5  17 -16.528408 -1249.460738
3 5  18 -21.603024 -Inf
3 5  19 -27.224475 -1359.459705
3 5  20 -28.941715 -1279.222069
3 6  7 -30.902789 -1164.646440
3 6  8 -23.779567 -1301.027136
3 6  9 -24.871483 -683.907002
3 6  10 -26.559866 -1218.755215
3 6  11 -19.840785 -Inf
3 6  12 -26.672209 -1182.705842
3 6  13 -32.637246 -Inf
3 6  14 -30.059671 -Inf
3 6  15 -24.891557 -Inf
3 6  16 -29.155259 -1267.869458
3 6  17 -20.672985 -1223.841992
3 6  18 -30.473312 -Inf
3 6  19 -33.727632 -1333.840959
3 6  20 -32.838802 -1253.603324
3 7  8 -22.790530 -1097.973103
3 7  9 -22.710230 -480.852969
3 7  10 -21.747553 -1015.701182
3 7  11 -19.799736 -Inf
3 7  12 -27.202967 -979.651810
3 7  13 -31.336361 -Inf
3 7  14 -25.158058 -Inf
3 7  15 -22.633041 -Inf
3 7  16 -27.449275 -1064.815426
3 7  17 -19.920176 -1020.787959
3 7  18 -27.281465 -Inf
3 7  19 -32.499546 -1130.786926
3 7  20 -20.930482 -1050.549291
3 8  9 -14.155072 -617.233665
3 8  10 -25.696805 -1152.081878
3 8  11 -18.860083 -Inf
3 8  12 -18.904938 -1116.032505
3 8  13 -24.193803 -Inf
3 8  14 -21.493667 -Inf
3 8  15 -26.640574 -Inf
3 8  16 -21.564012 -1201.196121
3 8  17 -18.829903 -1157.168655
3 8  18 -24.431355 -Inf
3 8  19 -24.509865 -1267.167621
3 8  20 -24.948221 -1186.929986
3 9  10 -22.437485 -534.961744
3 9  11 -16.517524 -Inf
3 9  12 -21.243433 -498.912371
3 9  13 -25.775262 -Inf
3 9  14 -29.106149 -Inf
3 9  15 -14.903974 -Inf
3 9  16 -30.832762 -584.075987
3 9  17 -14.942703 -540.048521
3 9  18 -18.447931 -Inf
3 9  19 -25.209166 -650.047487
3 9  20 -26.033070 -569.809852
3 10  11 -21.340013 -Inf
3 10  12 -25.413278 -1033.760584
3 10  13 -30.117457 -Inf
3 10  14 -30.350585 -Inf
3 10  15 -23.437477 -Inf
3 10  16 -30.512481 -1118.924200
3 10  17 -20.681873 -1074.896734
3 10  18 -24.626509 -Inf
3 10  19 -28.083366 -1184.895701
3 10  20 -27.841021 -1104.658066
3 11  12 -16.566047 -Inf
3 11  13 -20.070603 -Inf
3 11  14 -28.105168 -Inf
3 11  15 -19.965375 -Inf
3 11  16 -21.207229 -Inf
3 11  17 -18.564501 -Inf
3 11  18 -17.915222 -Inf
3 11  19 -21.924553 -Inf
3 11  20 -25.851154 -Inf
3 12  13 -21.653230 -Inf
3 12  14 -26.807502 -Inf
3 12  15 -20.423051 -Inf
3 12  16 -29.035845 -1082.874827
3 12  17 -18.157648 -1038.847361
3 12  18 -24.638721 -Inf
3 12  19 -23.809483 -1148.846328
3 12  20 -20.303677 -1068.608693
3 13  14 -26.851707 -Inf
3 13  15 -25.904945 -Inf
3 13  16 -34.358592 -Inf
3 13  17 -21.326106 -Inf
3 13  18 -29.397784 -Inf
3 13  19 -38.446199 -Inf
3 13  20 -30.407365 -Inf
3 14  15 -22.800041 -Inf
3 14  16 -32.606998 -Inf
3 14  17 -21.698721 -Inf
3 14  18 -28.896920 -Inf
3 14  19 -25.828773 -Inf
3 14  20 -35.049542 -Inf
3 15  16 -22.679940 -Inf
3 15  17 -17.732708 -Inf
3 15  18 -24.539723 -Inf
3 15  19 -25.498224 -Inf
3 15  20 -21.773910 -Inf
3 16  17 -19.851895 -1124.010977
3 16  18 -27.117562 -Inf
3 16  19 -33.426054 -1234.009944
3 16  20 -36.657572 -1153.772309
3 17  18 -18.387141 -Inf
3 17  19 -22.204221 -1189.982478
3 17  20 -19.464278 -1109.744843
3 18  19 -30.593816 -Inf
3 18  20 -29.369789 -Inf
3 19  20 -29.863791 -1219.743809
4  -45.000000 0.000000
4 1 -20.045257 -665.533747
4 2 -14.555340 -294.698145
4 3 -28.607355 -Inf
4 5 -35.067380 -410.949650
4 6 -27.251371 -726.970431
4 7 -26.259763 -233.995525
4 8 -15.108177 -1.055014
4 9 -36.223746 -Inf
4 10 -30.157558 -Inf
4 11 -40.978255 -527.167816
4 12 -27.808571 -632.367235
4 13 -31.242445 -644.211995
4 14 -42.928167 -Inf
4 15 -16.718777 -331.386600
4 16 -30.381945 -610.110002
4 17 -31.014239 -545.068071
4 18 -29.101472 -672.934332
4 19 -33.561213 -632.225551
4 20 -44.445129 -699.492130
4 1  2 -11.902809 -960.231892
4 1  3 -13.389132 -Inf
4 1  5 -16.904003 -1076.483397
4 1  6 -14.822812 -1392.504177
4 1  7 -16.720436 -899.529272
4 1  8 -8.851460 -666.588761
4 1  9 -14.907513 -Inf
4 1  10 -13.322909 -Inf
4 1  11 -14.455109 -1192.701563
4 1  12 -16.352115 -1297.900982
4 1  13 -12.673483 -1309.745741
4 1  14 -14.530320 -Inf
4 1  15 -12.775425 -996.920347
4 1  16 -13.657934 -1275.643749
4 1  17 -13.098486 -1210.601818
4 1  18 -18.011010 -1338.468078
4 1  19 -13.896563 -1297.759298
4 1  20 -18.561306 -1365.025877
4 2  3 -13.396084 -Inf
4 2  5 -13.406687 -705.647796
4 2  6 -10.949222 -1021.668576
4 2  7 -12.252717 -528.693671
4 2  8 -9.096605 -295.753159
4 2  9 -12.362479 -Inf
4 2  10 -9.706714 -Inf
4 2  11 -12.360266 -821.865962
4 2  12 -12.267013 -927.065380
4 2  13 -8.901411 -938.910140
4 2  14 -9.980635 -Inf
4 2  15 -12.720547 -626.084745
4 2  16 -9.188983 -904.808148
4 2  17 -12.393585 -839.766216
4 2  18 -11.982465 -967.632477
4 2  19 -10.063416 -926.923696
4 2  20 -10.783160 -994.190276
4 3  5 -17.196379 -Inf
4 3  6 -12.253704 -Inf
4 3  7 -15.942330 -Inf
4 3  8 -10.462299 -Inf
4 3  9 -13.180601 -Inf
4 3  10 -17.406140 -Inf
4 3  11 -19.190460 -Inf
4 3  12 -14.821917 -Inf
4 3  13 -14.842580 -Inf
4 3  14 -20.373689 -Inf
4 3  15 -14.292272 -Inf
4 3  16 -15.919949 -Inf
4 3  17 -15.213822 -Inf
4 3  18 -17.735856 -Inf
4 3  19 -15.775628 -Inf
4 3  20 -22.677609 -Inf
4 5  6 -18.884376 -1137.920081
4 5  7 -19.616160 -644.945176
4 5  8 -11.379369 -412.004664
4 5  9 -27.949278 -Inf
4 5  10 -15.678158 -Inf
4 5  11 -11.013541 -938.117467
4 5  12 -20.324830 -1043.316885
4 5  13 -20.803640 -1055.161645
4 5  14 -31.637024 -Inf
4 5  15 -13.562760 -742.336250
4 5  16 -18.703566 -1021.059653
4 5  17 -15.823075 -956.017721
4 5  18 -19.932593 -1083.883982
4 5  19 -23.360168 -1043.175201
4 5  20 -29.599934 -1110.441781
4 6  7 -15.113306 -960.965956
4 6  8 -9.216987 -728.025444
4 6  9 -21.056966 -Inf
4 6  10 -17.786468 -Inf
4 6  11 -16.191376 -1254.138247
4 6  12 -22.351304 -1359.337666
4 6  13 -14.123931 -1371.182425
4 6  14 -22.572634 -Inf
4 6  15 -10.566975 -1058.357030
4 6  16 -20.722269 -1337.080433
4 6  17 -13.289673 -1272.038501
4 6  18 -24.321110 -1399.904762
4 6  19 -14.782273 -1359.195982
4 6  20 -20.330888 -1426.462561
4 7  8 -9.079179 -235.050539
4 7  9 -18.727043 -Inf
4 7  10 -14.978582 -Inf
4 7  11 -15.905946 -761.163342
4 7  12 -16.925894 -866.362760
4 7  13 -15.066080 -878.207520
4 7  14 -15.651412 -Inf
4 7  15 -11.835410 -565.382125
4 7  16 -16.770316 -844.105528
4 7  17 -12.830375 -779.063596
4 7  18 -18.370992 -906.929857
4 7  19 -18.612981 -866.221076
4 7  20 -16.510848 -933.487656
4 8  9 -11.109007 -Inf
4 8  10 -9.654785 -Inf
4 8  11 -9.076944 -528.222830
4 8  12 -10.172035 -633.422249
4 8  13 -8.722728 -645.267009
4 8  14 -9.886119 -Inf
4 8  15 -10.496431 -332.441614
4 8  16 -9.029763 -611.165016
4 8  17 -9.552220 -546.123085
4 8  18 -9.948919 -673.989346
4 8  19 -9.089374 -633.280565
4 8  20 -10.486871 -700.547144
4 9  10 -18.727265 -Inf
4 9  11 -20.574784 -Inf
4 9  12 -22.456260 -Inf
4 9  13 -26.503077 -Inf
4 9  14 -27.637612 -Inf
4 9  15 -12.687172 -Inf
4 9  16 -22.482972 -Inf
4 9  17 -15.497897 -Inf
4 9  18 -22.728389 -Inf
4 9  19 -26.549343 -Inf
4 9  20 -24.370100 -Inf
4 10  11 -15.830322 -Inf
4 10  12 -22.214176 -Inf
4 10  13 -16.195520 -Inf
4 10  14 -14.732302 -Inf
4 10  15 -13.375585 -Inf
4 10  16 -24.217010 -Inf
4 10  17 -16.255204 -Inf
4 10  18 -23.558326 -Inf
4 10  19 -14.603779 -Inf
4 10  20 -24.567941 -Inf
4 11  12 -14.195264 -1159.535051
4 11  13 -17.705497 -1171.379811
4 11  14 -33.958742 -Inf
4 11  15 -14.967703 -858.554416
4 11  16 -16.641861 -1137.277818
4 11  17 -20.583247 -1072.235887
4 11  18 -17.447736 -1200.102148
4 11  19 -24.232804 -1159.393367
4 11  20 -39.179264 -1226.659946
4 12  13 -19.774561 -1276.579230
4 12  14 -23.486125 -Inf
4 12  15 -11.668867 -963.753835
4 12  16 -24.209470 -1242.477237
4 12  17 -15.403371 -1177.435306
4 12  18 -24.735198 -1305.301567
4 12  19 -22.637606 -1264.592786
4 12  20 -22.373076 -1331.859365
4 13  14 -22.740551 -Inf
4 13  15 -9.699605 -975.598594
4 13  16 -19.700107 -1254.321997
4 13  17 -14.064710 -1189.280066
4 13  18 -20.259126 -1317.146326
4 13  19 -25.455870 -1276.437546
4 13  20 -23.745719 -1343.704125
4 14  15 -14.864270 -Inf
4 14  16 -25.348100 -Inf
4 14  17 -20.721884 -Inf
4 14  18 -22.668554 -Inf
4 14  19 -25.212349 -Inf
4 14  20 -32.853320 -Inf
