1  -48.000000 0.000000
1 2 -27.505498 -0.880114
1 3 -38.674798 -311.116977
1 4 -33.152584 -391.763716
1 5 -28.547117 -0.345705
1 6 -36.174290 -373.590456
1 7 -41.786938 -206.302059
1 8 -35.553472 -423.982236
1 9 -43.187021 -253.729684
1 10 -44.937995 -405.598736
1 11 -46.964323 -267.970519
1 12 -35.299676 -229.835357
1 13 -35.484910 -240.005771
1 14 -45.299516 -723.530674
1 15 -34.487166 -347.119612
1 16 -41.109725 -368.667143
1 17 -40.454189 -280.939465
1 18 -37.820664 -299.526357
1 19 -34.699398 -259.585360
1 20 -45.663809 -729.449800
1 2  3 -25.206537 -311.997091
1 2  4 -23.513426 -392.643830
1 2  5 -21.936867 -1.225819
1 2  6 -20.465687 -374.470570
1 2  7 -24.440134 -207.182173
1 2  8 -22.802289 -424.862350
1 2  9 -22.940108 -254.609797
1 2  10 -22.579198 -406.478850
1 2  11 -24.001227 -268.850632
1 2  12 -21.619185 -230.715471
1 2  13 -21.733186 -240.885885
1 2  14 -21.851972 -724.410787
1 2  15 -23.151653 -347.999726
1 2  16 -22.491917 -369.547256
1 2  17 -18.368541 -281.819578
1 2  18 -22.958203 -300.406471
1 2  19 -22.527650 -260.465474
1 2  20 -21.927403 -730.329913
1 3  4 -28.438079 -702.880693
1 3  5 -24.539993 -311.462682
1 3  6 -28.707685 -684.707433
1 3  7 -30.817787 -517.419037
1 3  8 -29.764274 -735.099213
1 3  9 -31.295588 -564.846661
1 3  10 -33.927015 -716.715714
1 3  11 -29.133780 -579.087496
1 3  12 -27.269973 -540.952335
1 3  13 -28.618626 -551.122748
1 3  14 -34.091873 -1034.647651
1 3  15 -31.041465 -658.236589
1 3  16 -34.824223 -679.784120
1 3  17 -30.580823 -592.056442
1 3  18 -28.586130 -610.643334
1 3  19 -27.435342 -570.702337
1 3  20 -34.880594 -1040.566777
1 4  5 -21.690826 -392.109421
1 4  6 -28.909455 -765.354172
1 4  7 -25.800054 -598.065775
1 4  8 -27.679333 -815.745952
1 4  9 -26.045176 -645.493400
1 4  10 -28.983330 -797.362452
1 4  11 -25.003442 -659.734235
1 4  12 -27.747543 -621.599073
1 4  13 -27.228224 -631.769487
1 4  14 -29.029037 -1115.294390
1 4  15 -28.655073 -738.883328
1 4  16 -26.415560 -760.430859
1 4  17 -26.744926 -672.703181
1 4  18 -28.006578 -691.290073
1 4  19 -27.811229 -651.349076
1 4  20 -29.223308 -1121.213516
1 5  6 -23.015756 -373.936161
1 5  7 -21.400933 -206.647765
1 5  8 -22.009748 -424.327941
1 5  9 -24.933668 -254.075389
1 5  10 -25.026581 -405.944442
1 5  11 -22.437275 -268.316224
1 5  12 -23.249644 -230.181063
1 5  13 -22.444882 -240.351476
1 5  14 -25.831440 -723.876379
1 5  15 -23.120354 -347.465317
1 5  16 -23.586896 -369.012848
1 5  17 -23.347415 -281.285170
1 5  18 -24.078522 -299.872062
1 5  19 -23.452950 -259.931065
1 5  20 -25.084199 -729.795505
1 6  7 -27.908876 -579.892516
1 6  8 -30.646891 -797.572692
1 6  9 -30.290512 -627.320140
1 6  10 -32.506186 -779.189193
1 6  11 -30.272679 -641.560975
1 6  12 -27.592578 -603.425813
1 6  13 -30.156955 -613.596227
1 6  14 -25.665779 -1097.121130
1 6  15 -30.268841 -720.710068
1 6  16 -28.275970 -742.257599
1 6  17 -29.289956 -654.529921
1 6  18 -32.944144 -673.116813
1 6  19 -29.873889 -633.175816
1 6  20 -30.809701 -1103.040256
1 7  8 -31.796362 -630.284296
1 7  9 -33.273166 -460.031743
1 7  10 -34.957124 -611.900796
1 7  11 -34.851861 -474.272578
1 7  12 -26.607566 -436.137417
1 7  13 -28.244643 -446.307831
1 7  14 -28.465657 -929.832733
1 7  15 -31.202567 -553.421671
1 7  16 -27.535570 -574.969202
1 7  17 -32.192365 -487.241524
1 7  18 -30.419817 -505.828416
1 7  19 -26.338052 -465.887420
1 7  20 -34.007819 -935.751859
1 8  9 -31.331373 -677.711920
1 8  10 -32.393684 -829.580973
1 8  11 -29.973376 -691.952755
1 8  12 -27.690455 -653.817594
1 8  13 -30.891188 -663.988007
1 8  14 -32.650444 -1147.512910
1 8  15 -33.056285 -771.101848
1 8  16 -31.291710 -792.649379
1 8  17 -26.963572 -704.921701
1 8  18 -28.012548 -723.508593
1 8  19 -30.238158 -683.567596
1 8  20 -29.614121 -1153.432036
1 9  10 -34.757674 -659.328420
1 9  11 -41.155445 -521.700203
1 9  12 -28.065014 -483.565041
1 9  13 -28.721400 -493.735455
1 9  14 -37.923830 -977.260358
1 9  15 -29.851086 -600.849296
1 9  16 -32.283668 -622.396827
1 9  17 -34.678220 -534.669149
1 9  18 -28.599486 -553.256041
1 9  19 -29.062881 -513.315044
1 9  20 -35.704835 -983.179484
1 10  11 -36.516878 -673.569255
1 10  12 -30.955373 -635.434094
1 10  13 -33.278341 -645.604508
1 10  14 -34.894464 -1129.129410
1 10  15 -32.414642 -752.718349
1 10  16 -33.853580 -774.265879
1 10  17 -33.614884 -686.538201
1 10  18 -32.897574 -705.125093
1 10  19 -30.348094 -665.184097
1 10  20 -32.031100 -1135.048536
1 11  12 -29.482982 -497.805876
1 11  13 -31.081861 -507.976290
1 11  14 -38.265524 -991.501192
1 11  15 -28.517519 -615.090131
1 11  16 -34.087328 -636.637661
1 11  17 -34.874810 -548.909983
1 11  18 -33.956840 -567.496876
1 11  19 -31.308378 -527.555879
1 11  20 -42.104106 -997.420318
1 12  13 -27.766980 -469.841128
1 12  14 -28.215069 -953.366031
1 12  15 -27.983357 -576.954969
1 12  16 -25.678374 -598.502500
1 12  17 -27.392887 -510.774822
1 12  18 -28.834568 -529.361714
1 12  19 -28.448157 -489.420717
1 12  20 -31.767866 -959.285157
1 13  14 -26.642062 -963.536445
1 13  15 -30.609509 -587.125383
1 13  16 -33.676391 -608.672914
1 13  17 -29.750621 -520.945236
1 13  18 -29.864671 -539.532128
1 13  19 -31.491642 -499.591131
1 13  20 -29.671956 -969.455571
1 14  15 -32.906488 -1070.650286
1 14  16 -32.803327 -1092.197816
1 14  17 -31.686591 -1004.470138
1 14  18 -28.801595 -1023.057031
1 14  19 -24.535939 -983.116034
1 14  20 -37.998980 -1452.980473
1 15  16 -31.566114 -715.786755
1 15  17 -29.091281 -628.059077
1 15  18 -29.065195 -646.645969
1 15  19 -31.292747 -606.704972
1 15  20 -30.644864 -1076.569412
1 16  17 -34.540847 -649.606607
1 16  18 -29.092630 -668.193500
1 16  19 -30.767403 -628.252503
1 16  20 -34.917703 -1098.116943
1 17  18 -29.745805 -580.465822
1 17  19 -29.972624 -540.524825
1 17  20 -34.148517 -1010.389264
1 18  19 -30.485644 -559.111717
1 18  20 -33.915655 -1028.976157
1 19  20 -29.697881 -989.035160
2  -48.000000 0.000000
2 1 -28.534728 -0.880114
2 3 -44.569192 -0.422582
2 4 -26.448733 -119.057987
2 5 -13.338760 -0.174663
2 6 -23.334245 -249.673077
2 7 -22.923970 -0.178692
2 8 -20.558423 -83.128465
2 9 -32.680451 -0.906622
2 10 -36.994476 -397.205622
2 11 -31.065999 -0.764059
2 12 -21.404222 -89.550727
2 13 -22.020531 -246.392329
2 14 -43.295555 -344.574901
2 15 -22.802942 -219.191889
