1  -143.000000 0.000000
1 2 -114.411225 -1.035806
1 3 -133.598691 -34.687754
1 4 -120.877450 -34.256594
1 5 -130.413512 -19.299018
1 6 -115.852168 -34.559660
1 7 -134.287765 -31.690794
1 8 -126.704955 -39.788648
1 9 -136.418139 -30.618327
1 10 -132.303804 -45.444103
1 11 -141.925870 -31.649344
1 12 -114.860138 -33.082463
1 13 -121.657022 -40.936060
1 14 -133.387501 -36.982842
1 15 -122.231297 -33.472168
1 16 -133.137711 -40.953692
1 17 -131.120695 -44.015235
1 18 -114.716060 -4.257906
1 19 -123.160256 -45.786682
1 20 -130.664678 -27.833923
1 2  3 -107.192642 -35.723560
1 2  4 -100.844250 -35.292400
1 2  5 -105.300119 -20.334824
1 2  6 -103.970417 -35.595466
1 2  7 -104.958852 -32.726600
1 2  8 -109.238410 -40.824454
1 2  9 -107.566972 -31.654133
1 2  10 -99.051774 -46.479909
1 2  11 -107.217560 -32.685150
1 2  12 -103.185077 -34.118269
1 2  13 -96.119274 -41.971866
1 2  14 -92.315323 -38.018648
1 2  15 -108.731529 -34.507974
1 2  16 -104.827858 -41.989498
1 2  17 -107.568501 -45.051041
1 2  18 -101.968389 -5.293712
1 2  19 -99.297320 -46.822488
1 2  20 -82.392458 -28.869729
1 3  4 -108.331279 -68.944347
1 3  5 -109.446816 -53.986772
1 3  6 -103.317689 -69.247414
1 3  7 -107.452739 -66.378548
1 3  8 -115.093248 -74.476402
1 3  9 -111.253471 -65.306081
1 3  10 -113.311387 -80.131857
1 3  11 -117.772737 -66.337097
1 3  12 -102.008509 -67.770217
1 3  13 -112.571657 -75.623813
1 3  14 -119.628324 -71.670596
1 3  15 -112.104888 -68.159921
1 3  16 -118.224681 -75.641445
1 3  17 -121.306250 -78.702989
1 3  18 -103.047882 -38.945660
1 3  19 -113.545088 -80.474435
1 3  20 -115.306281 -62.521677
1 4  5 -104.025613 -53.555612
1 4  6 -99.824586 -68.816253
1 4  7 -105.284627 -65.947387
1 4  8 -102.273099 -74.045242
1 4  9 -115.406480 -64.874921
1 4  10 -111.175331 -79.700697
1 4  11 -103.158721 -65.905937
1 4  12 -103.388439 -67.339057
1 4  13 -95.166931 -75.192653
1 4  14 -105.158436 -71.239436
1 4  15 -96.912569 -67.728761
1 4  16 -109.364233 -75.210285
1 4  17 -103.211525 -78.271829
1 4  18 -103.066055 -38.514500
1 4  19 -99.826707 -80.043275
1 4  20 -95.765275 -62.090517
1 5  6 -104.541612 -53.858678
1 5  7 -107.690080 -50.989812
1 5  8 -112.081778 -59.087666
1 5  9 -120.022187 -49.917345
1 5  10 -114.572137 -64.743121
1 5  11 -120.053186 -50.948362
1 5  12 -107.422519 -52.381481
1 5  13 -105.787180 -60.235078
1 5  14 -113.173822 -56.281860
1 5  15 -108.263134 -52.771186
1 5  16 -116.700237 -60.252710
1 5  17 -115.605847 -63.314253
1 5  18 -105.291246 -23.556924
1 5  19 -107.993846 -65.085700
1 5  20 -110.521125 -47.132941
1 6  7 -105.773649 -66.250454
1 6  8 -101.541834 -74.348308
1 6  9 -113.506781 -65.177987
1 6  10 -111.505434 -80.003763
1 6  11 -105.522985 -66.209004
1 6  12 -108.469135 -67.642123
1 6  13 -106.732125 -75.495720
