1  -179.000000 0.000000
1 2 -121.951066 -1.236354
1 3 -147.559161 -10.691819
1 4 -166.031702 -21.637394
1 5 -132.466446 -9.473517
1 6 -140.586721 -22.036331
1 7 -132.485514 -21.879655
1 8 -154.105491 -12.922217
1 9 -154.656842 -17.188465
1 10 -150.402468 -16.546301
1 11 -136.923105 -20.205902
1 12 -128.500746 -9.568388
1 13 -169.136457 -23.432899
1 14 -145.051533 -15.597692
1 15 -157.192573 -11.846159
1 16 -166.505623 -22.834479
1 17 -132.247578 -13.242640
1 18 -168.786832 -8.106539
1 19 -167.194634 -23.811879
1 20 -163.055741 -17.445184
1 2  3 -115.858802 -11.928173
1 2  4 -115.932640 -22.873748
1 2  5 -117.318248 -10.709871
1 2  6 -118.799185 -23.272685
1 2  7 -118.276031 -23.116008
1 2  8 -113.209062 -14.158570
1 2  9 -117.994576 -18.424819
1 2  10 -115.001682 -17.782655
1 2  11 -110.662305 -21.442256
1 2  12 -116.766957 -10.804741
1 2  13 -115.413035 -24.669253
1 2  14 -114.199179 -16.834046
1 2  15 -112.684137 -13.082513
1 2  16 -114.935029 -24.070833
1 2  17 -119.271581 -14.478993
1 2  18 -112.014453 -9.342893
1 2  19 -116.581391 -25.048232
1 2  20 -111.097391 -18.681538
1 3  4 -134.431884 -32.329214
1 3  5 -123.151387 -20.165336
1 3  6 -132.857422 -32.728150
1 3  7 -123.500972 -32.571474
1 3  8 -140.533612 -23.614036
1 3  9 -141.991111 -27.880285
1 3  10 -138.534938 -27.238120
1 3  11 -122.827460 -30.897722
1 3  12 -117.741667 -20.260207
1 3  13 -139.529393 -34.124718
1 3  14 -125.780009 -26.289511
1 3  15 -143.088748 -22.537978
1 3  16 -137.683585 -33.526299
1 3  17 -124.704578 -23.934459
1 3  18 -122.884275 -18.798358
1 3  19 -136.947012 -34.503698
1 3  20 -130.643272 -28.137004
1 4  5 -122.916736 -31.110912
1 4  6 -131.385586 -43.673725
1 4  7 -126.932621 -43.517049
1 4  8 -140.037610 -34.559611
1 4  9 -143.331772 -38.825860
1 4  10 -138.619110 -38.183695
1 4  11 -129.780981 -41.843297
1 4  12 -122.313761 -31.205782
1 4  13 -146.692914 -45.070294
