1  -90.000000 0.000000
1 2 -51.544343 -4.509281
1 3 -65.209516 -17.925287
1 4 -82.221130 -21.983549
1 5 -60.653470 -22.039718
1 6 -69.641855 -23.184287
1 7 -57.017775 -16.376257
1 8 -61.480787 -20.281031
1 9 -68.661464 -22.095542
1 10 -76.024223 -25.545905
1 11 -62.384685 -19.937811
1 12 -60.854580 -13.236873
1 13 -82.764428 -25.532433
1 14 -62.029682 -8.953299
1 15 -67.384945 -22.777681
1 16 -80.234636 -24.745212
1 17 -63.143897 -16.608641
1 18 -81.701242 -14.932480
1 19 -80.538401 -21.247015
1 20 -75.915150 -6.108748
1 2  3 -46.323237 -22.434568
1 2  4 -44.322105 -26.492830
1 2  5 -50.065500 -26.548999
1 2  6 -48.712743 -27.693568
1 2  7 -44.983055 -20.885538
1 2  8 -48.326531 -24.790312
1 2  9 -47.973883 -26.604823
1 2  10 -49.775058 -30.055186
1 2  11 -45.621364 -24.447092
1 2  12 -49.462229 -17.746154
1 2  13 -47.849313 -30.041714
1 2  14 -41.136973 -13.462580
1 2  15 -48.750178 -27.286962
1 2  16 -49.175739 -29.254492
1 2  17 -49.546568 -21.117922
1 2  18 -49.491696 -19.441761
1 2  19 -48.233517 -25.756296
1 2  20 -39.655259 -10.618029
1 3  4 -55.909312 -39.908835
1 3  5 -49.474407 -39.965005
1 3  6 -57.724850 -41.109574
1 3  7 -48.997487 -34.301543
1 3  8 -57.231355 -38.206318
1 3  9 -63.593561 -40.020828
1 3  10 -58.179760 -43.471192
1 3  11 -49.236519 -37.863097
1 3  12 -49.114751 -31.162160
1 3  13 -57.829980 -43.457720
1 3  14 -47.779642 -26.878585
1 3  15 -62.180179 -40.702968
1 3  16 -56.362522 -42.670498
1 3  17 -53.718764 -34.533928
1 3  18 -53.130671 -32.857767
1 3  19 -56.534994 -39.172302
1 3  20 -50.764813 -24.034035
1 4  5 -48.650169 -44.023267
1 4  6 -53.266637 -45.167836
1 4  7 -51.077251 -38.359806
1 4  8 -53.037192 -42.264580
1 4  9 -61.926257 -44.079090
1 4  10 -55.755899 -47.529454
1 4  11 -54.722080 -41.921359
1 4  12 -53.063778 -35.220422
1 4  13 -62.193981 -47.515982
1 4  14 -58.067606 -30.936847
1 4  15 -57.626234 -44.761230
1 4  16 -62.006725 -46.728760
1 4  17 -54.738918 -38.592190
1 4  18 -57.680823 -36.916029
1 4  19 -62.946256 -43.230564
1 4  20 -61.980307 -28.092297
1 5  6 -54.061082 -45.224005
1 5  7 -51.286277 -38.415975
1 5  8 -49.082397 -42.320750
1 5  9 -49.268888 -44.135260
1 5  10 -56.845376 -47.585623
1 5  11 -54.931763 -41.977529
1 5  12 -52.091506 -35.276591
1 5  13 -55.771120 -47.572151
1 5  14 -48.635472 -30.993017
1 5  15 -53.051928 -44.817399
1 5  16 -55.969967 -46.784930
1 5  17 -50.537027 -38.648359
1 5  18 -49.307779 -36.972198
1 5  19 -53.048028 -43.286733
1 5  20 -44.006526 -28.148466
1 6  7 -52.182343 -39.560544
1 6  8 -45.331751 -43.465319
1 6  9 -58.002345 -45.279829
1 6  10 -66.785878 -48.730192
1 6  11 -56.393762 -43.122098
1 6  12 -53.746062 -36.421161
1 6  13 -63.945195 -48.716721
1 6  14 -48.786359 -32.137586
1 6  15 -52.969255 -45.961968
1 6  16 -65.370969 -47.929499
1 6  17 -55.840129 -39.792929
1 6  18 -53.425540 -38.116767
1 6  19 -63.460101 -44.431302
1 6  20 -54.416439 -29.293035
1 7  8 -46.180782 -36.657288
1 7  9 -50.187452 -38.471798
1 7  10 -55.011776 -41.922162
1 7  11 -50.167796 -36.314067
1 7  12 -48.420392 -29.613130
1 7  13 -50.029437 -41.908690
1 7  14 -52.997009 -25.329555
1 7  15 -47.182599 -39.153938
1 7  16 -52.777530 -41.121468
1 7  17 -48.360303 -32.984898
1 7  18 -53.414628 -31.308737
1 7  19 -50.825355 -37.623272
1 7  20 -44.547634 -22.485005
1 8  9 -57.823720 -42.376573
1 8  10 -51.673402 -45.826937
1 8  11 -47.913052 -40.218842
1 8  12 -45.976324 -33.517905
1 8  13 -52.337004 -45.813465
1 8  14 -45.612569 -29.234330
1 8  15 -55.009740 -43.058713
1 8  16 -52.932092 -45.026243
1 8  17 -49.612102 -36.889673
1 8  18 -47.272244 -35.213512
1 8  19 -50.771581 -41.528047
1 8  20 -49.526160 -26.389779
1 9  10 -59.262471 -47.641447
1 9  11 -52.958252 -42.033352
1 9  12 -52.058447 -35.332415
1 9  13 -59.937788 -47.627975
1 9  14 -50.366885 -31.048840
1 9  15 -64.168142 -44.873223
1 9  16 -58.752454 -46.840753
1 9  17 -54.398383 -38.704183
1 9  18 -61.341220 -37.028022
1 9  19 -58.916503 -43.342557
1 9  20 -56.311404 -28.204290
1 10  11 -58.439852 -45.483716
1 10  12 -56.470405 -38.782778
1 10  13 -71.741068 -51.078338
1 10  14 -54.186751 -34.499204
1 10  15 -56.467715 -48.323586
1 10  16 -72.328915 -50.291117
1 10  17 -58.942613 -42.154546
1 10  18 -59.064636 -40.478385
1 10  19 -71.514698 -46.792920
1 10  20 -55.689953 -31.654653
1 11  12 -52.496327 -33.174684
1 11  13 -54.640924 -45.470244
1 11  14 -51.619769 -28.891109
1 11  15 -52.907748 -42.715492
1 11  16 -55.067914 -44.683022
1 11  17 -56.245380 -36.546452
1 11  18 -51.314886 -34.870291
1 11  19 -55.936018 -41.184826
1 11  20 -45.000227 -26.046559
1 12  13 -56.412118 -38.769307
1 12  14 -45.438843 -22.190172
1 12  15 -49.677518 -36.014554
1 12  16 -57.788229 -37.982085
1 12  17 -56.797669 -29.845515
1 12  18 -51.986878 -28.169353
1 12  19 -56.959099 -34.483888
1 12  20 -47.600528 -19.345621
1 13  14 -55.780003 -34.485732
1 13  15 -59.014235 -48.310115
1 13  16 -77.146822 -50.277645
1 13  17 -60.685927 -42.141075
1 13  18 -60.920217 -40.464914
1 13  19 -79.031038 -46.779448
1 13  20 -64.779155 -31.641181
1 14  15 -50.564420 -31.730980
1 14  16 -57.632703 -33.698510
1 14  17 -49.724569 -25.561940
1 14  18 -50.840109 -23.885779
1 14  19 -52.010695 -30.200314
1 14  20 -57.214442 -15.062047
1 15  16 -60.568911 -47.522893
1 15  17 -51.563928 -39.386322
1 15  18 -51.705975 -37.710161
1 15  19 -55.986006 -44.024696
1 15  20 -52.284909 -28.886429
1 16  17 -60.877541 -41.353853
1 16  18 -60.960976 -39.677692
1 16  19 -74.969913 -45.992227
1 16  20 -56.613630 -30.853959
1 17  18 -50.497865 -31.541121
1 17  19 -60.621300 -37.855656
1 17  20 -46.816892 -22.717389
1 18  19 -61.298096 -36.179495
1 18  20 -62.805772 -21.041228
1 19  20 -61.961089 -27.355763
2  -90.000000 0.000000
2 1 -45.212860 -4.509281
2 3 -21.530500 -0.102892
2 4 -72.150933 -11.127895
2 5 -16.083839 -1.219071
2 6 -27.317955 -2.402510
2 7 -17.341783 -0.079871
2 8 -40.905028 -4.756784
2 9 -58.485972 -6.894686
2 10 -28.515216 -3.828896
2 11 -25.940119 -5.858930
2 12 -19.070350 -4.237102
2 13 -62.418641 -26.288767
2 14 -32.060586 -6.534448
2 15 -46.133856 -12.186342
2 16 -51.157546 -3.566744
2 17 -18.751971 -1.637766
2 18 -79.234129 -7.071408
2 19 -62.709856 -23.175340
2 20 -55.339438 -24.105499
2 1  3 -14.323523 -4.612173
2 1  4 -29.009130 -15.637176
2 1  5 -11.361951 -5.728351
2 1  6 -15.277581 -6.911790
2 1  7 -12.635852 -4.589152
2 1  8 -32.370655 -9.266064
2 1  9 -33.161375 -11.403967
2 1  10 -14.039325 -8.338177
2 1  11 -17.366637 -10.368211
2 1  12 -12.418007 -8.746383
2 1  13 -26.632077 -30.798048
2 1  14 -21.290797 -11.043729
2 1  15 -33.556999 -16.695622
2 1  16 -24.229495 -8.076025
2 1  17 -13.808039 -6.147047
2 1  18 -31.709423 -11.580689
2 1  19 -27.231420 -27.684621
2 1  20 -29.886686 -28.614780
2 3  4 -18.782608 -11.230787
2 3  5 -6.822761 -1.321962
2 3  6 -10.041457 -2.505401
2 3  7 -8.368621 -0.182763
2 3  8 -16.199871 -4.859675
2 3  9 -20.081239 -6.997578
2 3  10 -10.814591 -3.931788
2 3  11 -12.612242 -5.961822
2 3  12 -8.556072 -4.339994
2 3  13 -13.678136 -26.391659
2 3  14 -10.759261 -6.637339
2 3  15 -17.630177 -12.289233
2 3  16 -15.042958 -3.669635
2 3  17 -9.514674 -1.740657
2 3  18 -16.760213 -7.174300
2 3  19 -12.529181 -23.278231
2 3  20 -16.777177 -24.208390
2 4  5 -11.917548 -12.346966
2 4  6 -23.252648 -13.530404
2 4  7 -14.817795 -11.207766
2 4  8 -30.798724 -15.884679
