1 19  20 -68.836782 -Inf
2  -94.000000 0.000000
2 1 -31.844622 -0.112524
2 3 -65.503058 -662.434843
2 4 -37.900816 -401.555862
2 5 -57.139765 -0.112524
2 6 -46.150317 -589.774585
2 7 -42.468669 -0.112347
2 8 -23.707868 -0.112524
2 9 -66.305084 -0.002525
2 10 -57.074174 -Inf
2 11 -73.327987 -288.883193
2 12 -43.849624 -708.313310
2 13 -55.871346 -Inf
2 14 -71.838312 -297.089257
2 15 -30.083307 -316.129535
2 16 -70.349243 -Inf
2 17 -69.974736 -Inf
2 18 -51.406680 -Inf
2 19 -57.068040 -Inf
2 20 -84.815583 -Inf
2 1  3 -23.741422 -662.547366
2 1  4 -25.412872 -401.668386
2 1  5 -17.909422 -0.225047
2 1  6 -22.840648 -589.887108
2 1  7 -19.059113 -0.224871
2 1  8 -15.823323 -0.225047
2 1  9 -18.956553 -0.115048
2 1  10 -23.677890 -Inf
2 1  11 -19.712653 -288.995717
2 1  12 -21.404931 -708.425834
2 1  13 -22.401842 -Inf
2 1  14 -25.524739 -297.201781
2 1  15 -19.761893 -316.242058
2 1  16 -23.150136 -Inf
2 1  17 -22.973209 -Inf
2 1  18 -26.384839 -Inf
2 1  19 -23.496240 -Inf
2 1  20 -26.733353 -Inf
2 3  4 -30.711951 -1063.990705
2 3  5 -27.424459 -662.547366
2 3  6 -36.367902 -1252.209427
2 3  7 -25.146909 -662.547190
2 3  8 -18.935573 -662.547366
2 3  9 -19.057722 -662.437367
2 3  10 -48.456384 -Inf
2 3  11 -41.259171 -951.318036
2 3  12 -34.915397 -1370.748153
2 3  13 -39.827303 -Inf
2 3  14 -55.579913 -959.524100
2 3  15 -25.640528 -978.564377
2 3  16 -45.052616 -Inf
2 3  17 -53.071087 -Inf
2 3  18 -41.953977 -Inf
2 3  19 -41.283467 -Inf
2 3  20 -54.881696 -Inf
2 4  5 -17.977593 -401.668386
2 4  6 -27.045243 -991.330447
2 4  7 -20.427311 -401.668210
2 4  8 -17.968990 -401.668386
2 4  9 -22.860561 -401.558387
2 4  10 -31.111385 -Inf
2 4  11 -19.193540 -690.439056
2 4  12 -26.235080 -1109.869172
2 4  13 -32.000377 -Inf
2 4  14 -30.725242 -698.645119
2 4  15 -23.021673 -717.685397
2 4  16 -31.667656 -Inf
2 4  17 -29.114896 -Inf
2 4  18 -29.580460 -Inf
2 4  19 -31.999742 -Inf
2 4  20 -33.000746 -Inf
2 5  6 -24.531624 -589.887108
2 5  7 -26.474843 -0.224871
2 5  8 -12.945578 -0.225047
2 5  9 -41.835676 -0.115048
2 5  10 -27.716177 -Inf
2 5  11 -23.003194 -288.995717
2 5  12 -26.320792 -708.425834
2 5  13 -26.657608 -Inf
2 5  14 -34.997474 -297.201781
2 5  15 -13.516880 -316.242058
2 5  16 -40.783467 -Inf
2 5  17 -23.599353 -Inf
2 5  18 -26.986954 -Inf
2 5  19 -27.874344 -Inf
2 5  20 -45.068655 -Inf
2 6  7 -23.520380 -589.886932
2 6  8 -14.442688 -589.887108
2 6  9 -28.310961 -589.777109
2 6  10 -42.248202 -Inf
2 6  11 -32.188443 -878.657778
2 6  12 -33.775597 -1298.087895
2 6  13 -39.284132 -Inf
2 6  14 -34.954957 -886.863842
2 6  15 -19.401511 -905.904120
2 6  16 -40.119068 -Inf
2 6  17 -34.750241 -Inf
2 6  18 -39.342435 -Inf
2 6  19 -40.180331 -Inf
2 6  20 -37.588347 -Inf
2 7  8 -17.019056 -0.224871
2 7  9 -29.336930 -0.114872
2 7  10 -23.906632 -Inf
2 7  11 -19.866184 -288.995541
2 7  12 -23.336789 -708.425658
2 7  13 -26.547370 -Inf
2 7  14 -25.244696 -297.201605
2 7  15 -20.355668 -316.241882
2 7  16 -33.081789 -Inf
2 7  17 -27.617516 -Inf
2 7  18 -25.200793 -Inf
2 7  19 -27.188376 -Inf
2 7  20 -39.201325 -Inf
2 8  9 -14.330292 -0.115048
2 8  10 -18.320360 -Inf
2 8  11 -15.528865 -288.995717
2 8  12 -13.816916 -708.425834
2 8  13 -15.393916 -Inf
2 8  14 -17.790702 -297.201781
2 8  15 -22.831345 -316.242058
2 8  16 -17.263115 -Inf
2 8  17 -19.271379 -Inf
2 8  18 -16.107820 -Inf
2 8  19 -16.130738 -Inf
2 8  20 -20.427815 -Inf
2 9  10 -35.640433 -Inf
2 9  11 -33.512390 -288.885718
2 9  12 -30.523125 -708.315835
2 9  13 -31.988040 -Inf
2 9  14 -35.691713 -297.091782
2 9  15 -18.134405 -316.132059
2 9  16 -45.369005 -Inf
2 9  17 -32.752300 -Inf
2 9  18 -33.730550 -Inf
2 9  19 -32.497693 -Inf
2 9  20 -44.754486 -Inf
2 10  11 -39.864542 -Inf
2 10  12 -37.687557 -Inf
2 10  13 -49.410984 -Inf
2 10  14 -43.980965 -Inf
2 10  15 -25.211443 -Inf
2 10  16 -51.162905 -Inf
2 10  17 -49.000115 -Inf
2 10  18 -44.316790 -Inf
2 10  19 -50.824596 -Inf
2 10  20 -49.270579 -Inf
2 11  12 -30.389807 -997.196504
2 11  13 -40.572652 -Inf
2 11  14 -51.453479 -585.972451
2 11  15 -17.160763 -605.012728
2 11  16 -37.422890 -Inf
2 11  17 -46.152086 -Inf
2 11  18 -36.822093 -Inf
2 11  19 -42.806914 -Inf
2 11  20 -57.878154 -Inf
2 12  13 -38.578795 -Inf
2 12  14 -33.442927 -1005.402567
2 12  15 -17.531255 -1024.442845
2 12  16 -36.954015 -Inf
2 12  17 -32.632601 -Inf
2 12  18 -42.336088 -Inf
2 12  19 -38.710010 -Inf
2 12  20 -39.748543 -Inf
2 13  14 -45.458376 -Inf
2 13  15 -20.796520 -Inf
2 13  16 -45.216423 -Inf
2 13  17 -46.960453 -Inf
2 13  18 -43.070270 -Inf
2 13  19 -55.196336 -Inf
2 13  20 -49.146039 -Inf
2 14  15 -25.104092 -613.218792
2 14  16 -48.483840 -Inf
2 14  17 -52.997176 -Inf
2 14  18 -40.162008 -Inf
2 14  19 -46.992641 -Inf
2 14  20 -65.405448 -Inf
2 15  16 -24.619214 -Inf
2 15  17 -23.823294 -Inf
2 15  18 -19.774185 -Inf
2 15  19 -21.580280 -Inf
2 15  20 -26.667636 -Inf
2 16  17 -45.670277 -Inf
2 16  18 -43.773225 -Inf
2 16  19 -47.207089 -Inf
2 16  20 -54.293450 -Inf
2 17  18 -41.226623 -Inf
2 17  19 -49.064745 -Inf
2 17  20 -64.151534 -Inf
2 18  19 -44.279587 -Inf
2 18  20 -44.502631 -Inf
2 19  20 -51.545070 -Inf
3  -94.000000 0.000000
3 1 -65.977927 -Inf
3 2 -48.095509 -662.434843
3 4 -58.235289 -Inf
3 5 -91.552179 -Inf
3 6 -60.304939 -Inf
3 7 -85.566279 -Inf
3 8 -57.264965 -Inf
3 9 -72.061984 -0.000819
3 10 -66.255449 -245.426560
3 11 -61.623997 -Inf
3 12 -60.974672 -Inf
3 13 -58.344483 -608.424090
3 14 -57.432618 -623.429708
3 15 -58.833465 -Inf
3 16 -90.061790 -610.654863
3 17 -55.918239 -728.733366
3 18 -64.047551 -Inf
3 19 -61.150579 -635.719728
3 20 -90.918386 -Inf
3 1  2 -45.089485 -Inf
3 1  4 -53.864626 -Inf
3 1  5 -53.607989 -Inf
3 1  6 -49.803707 -Inf
3 1  7 -55.682584 -Inf
3 1  8 -51.323544 -Inf
3 1  9 -30.204022 -Inf
3 1  10 -49.337451 -Inf
3 1  11 -45.930792 -Inf
3 1  12 -49.045682 -Inf
3 1  13 -46.375598 -Inf
3 1  14 -44.470869 -Inf
3 1  15 -52.491742 -Inf
3 1  16 -49.895280 -Inf
3 1  17 -49.506764 -Inf
3 1  18 -51.993451 -Inf
3 1  19 -47.561896 -Inf
3 1  20 -60.212148 -Inf
3 2  4 -45.235735 -Inf
3 2  5 -45.673843 -Inf
3 2  6 -42.410233 -Inf
3 2  7 -39.635653 -Inf
3 2  8 -45.142541 -Inf
3 2  9 -24.273320 -662.435662
3 2  10 -41.456877 -907.861403
3 2  11 -43.500347 -Inf
3 2  12 -44.894810 -Inf
3 2  13 -41.706920 -1270.858933
3 2  14 -34.493510 -1285.864551
3 2  15 -46.317410 -Inf
3 2  16 -40.207843 -1273.089705
3 2  17 -43.982779 -1391.168209
3 2  18 -45.317236 -Inf
3 2  19 -42.507769 -1298.154570
3 2  20 -45.868826 -Inf
3 4  5 -48.822198 -Inf
3 4  6 -50.917748 -Inf
3 4  7 -53.544502 -Inf
3 4  8 -48.870604 -Inf
3 4  9 -34.026386 -Inf
3 4  10 -51.985329 -Inf
3 4  11 -49.164677 -Inf
3 4  12 -51.194420 -Inf
3 4  13 -48.073772 -Inf
3 4  14 -38.828483 -Inf
3 4  15 -51.371089 -Inf
3 4  16 -50.335063 -Inf
3 4  17 -50.761928 -Inf
3 4  18 -54.088360 -Inf
3 4  19 -50.289901 -Inf
3 4  20 -50.681902 -Inf
3 5  6 -53.232568 -Inf
3 5  7 -70.374123 -Inf
3 5  8 -47.985595 -Inf
3 5  9 -61.888583 -Inf
3 5  10 -57.210913 -Inf
3 5  11 -50.815138 -Inf
3 5  12 -55.577109 -Inf
3 5  13 -52.564226 -Inf
3 5  14 -47.999822 -Inf
3 5  15 -51.374557 -Inf
3 5  16 -74.406724 -Inf
3 5  17 -52.742518 -Inf
3 5  18 -55.277759 -Inf
3 5  19 -55.128359 -Inf
3 5  20 -86.064121 -Inf
3 6  7 -56.146917 -Inf
3 6  8 -48.479119 -Inf
3 6  9 -34.812344 -Inf
3 6  10 -44.345143 -Inf
3 6  11 -46.802517 -Inf
3 6  12 -53.183997 -Inf
3 6  13 -56.424135 -Inf
3 6  14 -46.850523 -Inf
3 6  15 -50.177280 -Inf
3 6  16 -47.863698 -Inf
3 6  17 -47.152992 -Inf
3 6  18 -55.137477 -Inf
3 6  19 -58.076867 -Inf
3 6  20 -57.452411 -Inf
3 7  8 -50.782135 -Inf
3 7  9 -48.679602 -Inf
3 7  10 -50.460478 -Inf
3 7  11 -51.306650 -Inf
3 7  12 -54.826253 -Inf
3 7  13 -51.947514 -Inf
3 7  14 -48.164623 -Inf
3 7  15 -50.020868 -Inf
3 7  16 -68.600762 -Inf
3 7  17 -52.808081 -Inf
3 7  18 -57.852805 -Inf
3 7  19 -55.757230 -Inf
3 7  20 -77.241732 -Inf
3 8  9 -32.632466 -Inf
3 8  10 -49.236216 -Inf
3 8  11 -48.353693 -Inf
3 8  12 -48.359676 -Inf
3 8  13 -45.145074 -Inf
3 8  14 -37.334096 -Inf
3 8  15 -56.276208 -Inf
3 8  16 -48.059030 -Inf
3 8  17 -48.040531 -Inf
3 8  18 -52.631090 -Inf
3 8  19 -46.867378 -Inf
3 8  20 -53.059601 -Inf
3 9  10 -47.771957 -245.427379
3 9  11 -42.858254 -Inf
3 9  12 -36.394295 -Inf
3 9  13 -38.668356 -608.424909
3 9  14 -40.239447 -623.430527
3 9  15 -34.210465 -Inf
3 9  16 -57.840958 -610.655682
3 9  17 -41.751943 -728.734186
3 9  18 -38.527871 -Inf
3 9  19 -38.620122 -635.720547
3 9  20 -51.162258 -Inf
3 10  11 -53.258259 -Inf
3 10  12 -46.229581 -Inf
3 10  13 -49.660258 -853.850650
3 10  14 -48.489545 -868.856268
3 10  15 -53.275161 -Inf
3 10  16 -59.613145 -856.081423
3 10  17 -52.414982 -974.159927
3 10  18 -51.025179 -Inf
3 10  19 -53.216117 -881.146288
3 10  20 -59.717519 -Inf
3 11  12 -48.504091 -Inf
3 11  13 -45.276126 -Inf
3 11  14 -43.311253 -Inf
3 11  15 -51.356620 -Inf
3 11  16 -48.586459 -Inf
3 11  17 -53.776748 -Inf
3 11  18 -51.332069 -Inf
3 11  19 -47.859345 -Inf
3 11  20 -57.795423 -Inf
3 12  13 -49.240505 -Inf
3 12  14 -45.203340 -Inf
3 12  15 -50.899736 -Inf
3 12  16 -54.345806 -Inf
3 12  17 -48.646254 -Inf
3 12  18 -57.238276 -Inf
3 12  19 -52.181268 -Inf
3 12  20 -55.081560 -Inf
3 13  14 -46.804226 -1231.853798
3 13  15 -46.061430 -Inf
