1  -188.000000 0.000000
1 2 -156.113971 -0.067465
1 3 -167.676451 -12.786743
1 4 -150.206840 -4.259022
1 5 -148.852707 -0.195659
1 6 -158.090964 -5.458241
1 7 -175.557310 -9.793606
1 8 -157.238299 -6.667661
1 9 -169.505938 -4.277649
1 10 -150.719680 -8.941817
1 11 -169.406983 -2.150091
1 12 -157.611961 -13.308738
1 13 -162.224584 -8.623669
1 14 -179.630922 -68.677616
1 15 -148.955498 -12.688694
1 16 -169.720440 -7.819081
1 17 -172.968116 -16.025600
1 18 -153.034417 -9.304964
1 19 -152.790239 -10.324324
1 20 -179.375807 -26.157431
1 2  3 -134.427751 -12.854208
1 2  4 -134.775190 -4.326487
1 2  5 -125.095207 -0.263124
1 2  6 -137.657068 -5.525706
1 2  7 -138.051324 -9.861071
1 2  8 -143.831666 -6.735126
1 2  9 -130.434488 -4.345114
1 2  10 -129.808036 -9.009282
1 2  11 -125.351575 -2.217556
1 2  12 -133.188369 -13.376203
1 2  13 -131.707581 -8.691134
1 2  14 -136.158903 -68.745081
1 2  15 -130.573351 -12.756159
1 2  16 -147.928178 -7.886546
1 2  17 -133.495422 -16.093065
1 2  18 -130.230651 -9.372429
1 2  19 -128.549800 -10.391789
1 2  20 -131.564734 -26.224896
1 3  4 -134.589598 -17.045765
1 3  5 -133.057789 -12.982402
1 3  6 -134.636828 -18.244984
1 3  7 -147.813232 -22.580349
1 3  8 -143.919689 -19.454404
1 3  9 -122.403293 -17.064392
1 3  10 -138.870582 -21.728560
1 3  11 -142.823723 -14.936834
1 3  12 -140.805310 -26.095481
1 3  13 -129.566531 -21.410412
1 3  14 -152.090961 -81.464359
1 3  15 -142.068626 -25.475437
1 3  16 -144.033903 -20.605824
1 3  17 -151.783139 -28.812343
1 3  18 -139.542160 -22.091707
1 3  19 -133.246139 -23.111067
1 3  20 -151.444638 -38.944174
1 4  5 -119.922350 -4.454681
1 4  6 -135.351748 -9.717264
1 4  7 -140.803872 -14.052628
1 4  8 -130.960539 -10.926683
1 4  9 -128.803562 -8.536672
1 4  10 -131.402999 -13.200839
1 4  11 -123.223413 -6.409114
1 4  12 -133.767855 -17.567761
1 4  13 -130.478490 -12.882691
1 4  14 -136.520282 -72.936638
1 4  15 -132.770202 -16.947717
1 4  16 -139.214156 -12.078104
1 4  17 -138.383248 -20.284622
1 4  18 -133.264022 -13.563986
1 4  19 -130.866405 -14.583347
1 4  20 -135.997244 -30.416453
1 5  6 -126.414779 -5.653901
1 5  7 -135.320771 -9.989265
1 5  8 -126.956416 -6.863320
1 5  9 -140.828042 -4.473309
1 5  10 -125.382170 -9.137476
1 5  11 -120.646139 -2.345750
1 5  12 -129.343506 -13.504397
1 5  13 -123.664788 -8.819328
1 5  14 -138.147888 -68.873275
1 5  15 -122.420052 -12.884354
1 5  16 -139.936790 -8.014740
1 5  17 -127.980887 -16.221259
1 5  18 -125.387047 -9.500623
1 5  19 -122.322179 -10.519984
1 5  20 -139.754094 -26.353090
1 6  7 -151.509172 -15.251847
1 6  8 -130.838041 -12.125902
1 6  9 -140.800368 -9.735891
1 6  10 -134.722453 -14.400058
1 6  11 -139.526560 -7.608333
1 6  12 -146.352166 -18.766980
1 6  13 -145.739814 -14.081911
1 6  14 -139.650601 -74.135857
1 6  15 -130.703777 -18.146936
1 6  16 -138.908008 -13.277323
1 6  17 -143.562302 -21.483842
1 6  18 -144.993223 -14.763206
1 6  19 -143.768022 -15.782566
1 6  20 -140.155991 -31.615673
1 7  8 -140.887930 -16.461267
1 7  9 -157.891921 -14.071255
1 7  10 -133.436100 -18.735423
1 7  11 -140.103607 -11.943697
1 7  12 -148.562938 -23.102344
1 7  13 -155.332399 -18.417275
1 7  14 -154.472290 -78.471221
1 7  15 -135.487937 -22.482300
1 7  16 -154.299940 -17.612687
1 7  17 -153.951981 -25.819206
1 7  18 -145.046864 -19.098570
1 7  19 -144.396289 -20.117930
1 7  20 -153.371667 -35.951037
1 8  9 -128.380930 -10.945310
1 8  10 -134.549864 -15.609478
1 8  11 -129.169341 -8.817752
1 8  12 -132.105272 -19.976399
1 8  13 -125.883979 -15.291330
