1  -41.000000 0.000000
1 2 -27.891722 -1.131919
1 3 -29.348514 -309.989437
1 4 -33.600657 -349.022783
1 5 -31.840036 -332.123711
1 6 -33.752471 -424.612700
1 7 -30.650246 -152.512055
1 8 -39.405358 -488.114821
1 9 -37.180577 -377.777528
1 10 -27.028784 -160.830440
1 11 -35.246770 -399.326236
1 12 -31.928598 -419.906619
1 13 -36.747395 -457.861554
1 14 -35.230987 -331.435503
1 15 -34.185601 -379.473462
1 16 -29.121373 -322.901884
1 17 -32.889110 -370.049632
1 18 -37.460895 -511.617600
1 19 -37.414099 -513.171282
1 20 -36.585545 -360.176484
1 2  3 -20.831429 -311.121356
1 2  4 -21.110746 -350.154702
1 2  5 -23.605264 -333.255630
1 2  6 -25.516640 -425.744619
1 2  7 -20.825216 -153.643975
1 2  8 -21.621155 -489.246740
1 2  9 -25.275327 -378.909448
1 2  10 -20.546428 -161.962359
1 2  11 -20.358178 -400.458155
1 2  12 -24.492631 -421.038539
1 2  13 -23.043459 -458.993474
1 2  14 -17.610454 -332.567422
1 2  15 -18.827668 -380.605381
1 2  16 -22.000479 -324.033804
1 2  17 -22.761977 -371.181552
1 2  18 -22.427175 -512.749520
1 2  19 -23.923461 -514.303201
1 2  20 -15.927337 -361.308403
1 3  4 -23.424581 -659.012220
1 3  5 -20.934941 -642.113147
1 3  6 -23.473871 -734.602137
1 3  7 -20.680686 -462.501492
1 3  8 -24.999663 -798.104258
1 3  9 -21.345790 -687.766965
1 3  10 -22.190891 -470.819876
1 3  11 -23.910750 -709.315673
1 3  12 -24.048649 -729.896056
1 3  13 -25.489120 -767.850991
1 3  14 -20.303594 -641.424940
1 3  15 -22.713081 -689.462899
1 3  16 -24.955677 -632.891321
1 3  17 -24.064171 -680.039069
1 3  18 -24.251804 -821.607037
1 3  19 -26.202029 -823.160719
1 3  20 -21.195051 -670.165921
1 4  5 -28.860466 -681.146493
1 4  6 -25.783284 -773.635483
1 4  7 -26.505510 -501.534838
1 4  8 -30.381432 -837.137604
1 4  9 -25.987231 -726.800311
1 4  10 -23.288462 -509.853222
1 4  11 -25.517132 -748.349019
1 4  12 -23.306873 -768.929402
1 4  13 -24.710790 -806.884337
1 4  14 -29.185193 -680.458286
1 4  15 -22.378049 -728.496245
1 4  16 -23.267843 -671.924667
1 4  17 -25.813575 -719.072415
1 4  18 -23.960898 -860.640383
1 4  19 -26.958890 -862.194065
1 4  20 -22.664408 -709.199267
1 5  6 -23.379220 -756.736410
1 5  7 -21.566816 -484.635766
1 5  8 -26.529387 -820.238531
1 5  9 -29.206404 -709.901239
1 5  10 -17.131843 -492.954150
1 5  11 -26.016192 -731.449946
1 5  12 -26.978552 -752.030330
1 5  13 -25.188172 -789.985265
1 5  14 -23.254841 -663.559213
1 5  15 -15.631351 -711.597172
1 5  16 -18.944575 -655.025595
1 5  17 -28.127049 -702.173343
1 5  18 -26.441514 -843.741311
1 5  19 -24.296989 -845.294992
1 5  20 -19.114196 -692.300194
1 6  7 -28.684532 -577.124755
1 6  8 -26.911178 -912.727521
1 6  9 -26.084362 -802.390228
1 6  10 -26.024065 -585.443139
1 6  11 -25.479993 -823.938935
1 6  12 -24.699523 -844.519319
