1  -137.000000 0.000000
1 2 -87.788491 -0.756071
1 3 -107.300872 -17.397631
1 4 -129.887786 -27.767456
1 5 -94.608204 -10.283945
1 6 -109.103745 -34.370135
1 7 -100.352432 -28.509454
1 8 -112.855368 -15.133329
1 9 -113.482084 -23.209067
1 10 -115.606646 -30.285114
1 11 -97.821320 -21.106558
1 12 -96.326168 -20.044619
1 13 -128.545161 -32.924167
1 14 -106.417978 -16.250214
1 15 -115.477027 -31.069410
1 16 -126.798290 -33.505449
1 17 -100.562975 -23.738836
1 18 -130.594796 -14.653754
1 19 -124.033561 -31.846874
1 20 -120.229267 -23.295550
1 2  3 -81.372548 -18.153702
1 2  4 -81.339084 -28.523527
1 2  5 -82.951847 -11.040017
1 2  6 -85.247661 -35.126206
1 2  7 -82.113814 -29.265525
1 2  8 -79.625928 -15.889400
1 2  9 -84.545713 -23.965138
1 2  10 -81.716201 -31.041185
1 2  11 -77.698926 -21.862629
1 2  12 -80.704756 -20.800690
1 2  13 -82.070906 -33.680239
1 2  14 -77.092351 -17.006285
1 2  15 -80.969843 -31.825482
1 2  16 -82.009945 -34.261521
1 2  17 -84.358762 -24.494907
1 2  18 -79.745128 -15.409825
1 2  19 -81.112410 -32.602946
1 2  20 -76.568567 -24.051622
1 3  4 -98.119881 -45.165087
1 3  5 -85.830671 -27.681576
1 3  6 -97.390816 -51.767766
1 3  7 -87.903878 -45.907085
1 3  8 -101.173828 -32.530960
1 3  9 -103.635781 -40.606697
1 3  10 -100.484773 -47.682744
1 3  11 -86.919814 -38.504189
1 3  12 -82.889631 -37.442250
1 3  13 -100.819959 -50.321798
1 3  14 -90.807451 -33.647845
1 3  15 -103.566216 -48.467041
1 3  16 -100.209787 -50.903080
1 3  17 -88.871149 -41.136467
1 3  18 -87.622545 -32.051384
1 3  19 -95.901925 -49.244505
1 3  20 -93.260889 -40.693181
1 4  5 -84.220865 -38.051401
1 4  6 -98.545656 -62.137591
1 4  7 -95.592559 -56.276910
1 4  8 -104.265713 -42.900785
1 4  9 -107.665837 -50.976522
1 4  10 -104.384350 -58.052569
1 4  11 -89.300949 -48.874013
1 4  12 -91.149844 -47.812075
1 4  13 -110.555344 -60.691623
1 4  14 -101.314719 -44.017670
1 4  15 -107.973356 -58.836866
1 4  16 -106.474521 -61.272905
1 4  17 -93.492348 -51.506292
1 4  18 -106.401526 -42.421209
1 4  19 -106.819807 -59.614330
1 4  20 -108.145781 -51.063006
1 5  6 -85.183012 -44.654080
1 5  7 -85.497579 -38.793399
1 5  8 -85.155742 -25.417274
1 5  9 -84.051545 -33.493012
1 5  10 -87.242860 -40.569059
1 5  11 -87.483762 -31.390503
1 5  12 -86.231577 -30.328564
1 5  13 -87.144543 -43.208113
1 5  14 -81.826833 -26.534159
1 5  15 -87.101297 -41.353356
1 5  16 -86.289341 -43.789395
1 5  17 -88.062934 -34.022781
1 5  18 -83.992726 -24.937699
1 5  19 -86.152121 -42.130820
1 5  20 -77.461886 -33.579496
1 6  7 -94.231361 -62.879588
1 6  8 -94.150624 -49.503463
1 6  9 -95.009211 -57.579201
1 6  10 -106.550078 -64.655248
1 6  11 -87.191506 -55.476692
1 6  12 -87.609840 -54.414754
1 6  13 -101.898197 -67.294302
1 6  14 -91.132117 -50.620349
1 6  15 -93.439902 -65.439545
1 6  16 -105.317254 -67.875584
1 6  17 -92.018657 -58.108971
1 6  18 -89.429673 -49.023888
1 6  19 -99.705837 -66.217009
1 6  20 -96.183746 -57.665685
1 7  8 -90.162472 -43.642782
1 7  9 -88.989007 -51.718520
1 7  10 -95.007566 -58.794567
1 7  11 -83.165661 -49.616011
1 7  12 -87.433593 -48.554073
1 7  13 -92.740874 -61.433621
1 7  14 -96.957746 -44.759668
1 7  15 -91.634813 -59.578864
1 7  16 -95.844343 -62.014903
1 7  17 -91.791890 -52.248290
1 7  18 -90.317368 -43.163207
1 7  19 -92.370888 -60.356328
1 7  20 -91.168244 -51.805004
1 8  9 -105.184619 -38.342395
1 8  10 -94.495606 -45.418442
1 8  11 -84.500986 -36.239886
1 8  12 -83.021011 -35.177948
1 8  13 -100.645698 -48.057496
1 8  14 -89.239089 -31.383543
1 8  15 -103.768211 -46.202739
1 8  16 -99.342358 -48.638778
1 8  17 -88.150535 -38.872165
1 8  18 -96.077860 -29.787082
1 8  19 -97.935120 -46.980203
1 8  20 -98.080669 -38.428879
1 9  10 -99.160930 -53.494180
1 9  11 -88.384666 -44.315624
1 9  12 -85.993165 -43.253685
1 9  13 -103.704545 -56.133234
1 9  14 -94.459219 -39.459280
1 9  15 -109.163635 -54.278477
1 9  16 -101.634307 -56.714516
1 9  17 -89.946297 -46.947902
1 9  18 -100.922701 -37.862820
1 9  19 -98.596231 -55.055941
1 9  20 -101.270336 -46.504617
1 10  11 -92.436306 -51.391671
1 10  12 -91.265210 -50.329732
1 10  13 -108.990260 -63.209281
1 10  14 -93.608733 -46.535327
1 10  15 -98.558474 -61.354524
1 10  16 -110.110364 -63.790563
1 10  17 -95.615112 -54.023950
1 10  18 -94.258445 -44.938867
1 10  19 -106.656148 -62.131988
1 10  20 -98.459552 -53.580664
1 11  12 -83.544105 -41.151176
1 11  13 -88.185717 -54.030725
1 11  14 -86.172321 -37.356771
1 11  15 -89.368808 -52.175968
1 11  16 -91.433307 -54.612007
1 11  17 -90.725050 -44.845394
1 11  18 -83.522622 -35.760311
1 11  19 -87.022988 -52.953432
1 11  20 -84.466520 -44.402108
1 12  13 -91.340682 -52.968786
1 12  14 -84.595964 -36.294833
1 12  15 -84.754279 -51.114029
1 12  16 -92.469195 -53.550068
1 12  17 -94.164191 -43.783455
1 12  18 -89.933599 -34.698372
