1  -44.000000 0.000000
1 16  20 -27.507642 -Inf
1 17  18 -22.233716 -Inf
1 17  19 -21.706850 -Inf
1 17  20 -18.161689 -Inf
1 18  19 -25.840116 -1336.625259
1 18  20 -30.854169 -1262.955568
1 19  20 -33.932014 -1256.032629
2  -44.000000 0.000000
2 1 -18.895435 -339.701712
2 3 -9.566841 -0.956017
2 4 -37.778301 -573.298781
2 5 -7.651400 -0.358133
2 6 -12.782923 -1.977875
2 7 -9.499468 -0.264707
2 8 -22.608053 -355.581107
2 9 -25.339659 -342.163380
2 10 -15.118379 -0.649555
2 11 -13.073645 -486.852193
2 12 -10.015342 -214.369085
2 13 -32.792298 -Inf
2 14 -20.330918 -0.534106
2 15 -24.084675 -623.022799
2 16 -24.708775 -0.999641
2 17 -10.509775 -559.313579
2 18 -32.411703 -663.735094
2 19 -31.340369 -705.524190
2 20 -32.723461 -718.749953
2 1  3 -6.447697 -340.657729
2 1  4 -13.368520 -913.000493
2 1  5 -5.659841 -340.059845
2 1  6 -5.007888 -341.679587
2 1  7 -5.629728 -339.966419
2 1  8 -15.301740 -695.282819
2 1  9 -13.859772 -681.865092
2 1  10 -4.633647 -340.351267
2 1  11 -9.103947 -826.553905
2 1  12 -4.413953 -554.070797
2 1  13 -12.357621 -Inf
2 1  14 -8.745954 -340.235818
2 1  15 -16.128973 -962.724511
2 1  16 -8.630292 -340.701353
2 1  17 -6.703597 -899.015291
2 1  18 -13.951156 -1003.436806
2 1  19 -11.159111 -1045.225902
2 1  20 -12.642786 -1058.451666
2 3  4 -7.909840 -574.254798
2 3  5 -3.293351 -1.314150
2 3  6 -4.294479 -2.933892
2 3  7 -3.434060 -1.220724
2 3  8 -7.256524 -356.537124
2 3  9 -8.450028 -343.119397
2 3  10 -4.562618 -1.605572
2 3  11 -6.160580 -487.808210
2 3  12 -3.650247 -215.325102
2 3  13 -5.399732 -Inf
2 3  14 -5.095118 -1.490123
2 3  15 -8.348964 -623.978816
2 3  16 -6.217260 -1.955658
2 3  17 -4.883274 -560.269596
2 3  18 -6.038302 -664.691111
2 3  19 -5.493815 -706.480207
2 3  20 -7.238399 -719.705970
2 4  5 -5.489050 -573.656914
2 4  6 -10.670503 -575.276656
