1  -174.000000 0.000000
1 2 -121.705162 -0.386215
1 3 -142.194969 -27.970208
1 4 -155.228246 -23.772885
1 5 -131.690283 -28.544349
1 6 -143.990632 -32.108549
1 7 -135.745509 -32.663140
1 8 -153.138506 -36.291758
1 9 -164.463187 -41.206133
1 10 -144.382213 -37.932701
1 11 -151.484805 -50.481050
1 12 -131.755926 -46.932620
1 13 -161.824518 -50.624032
1 14 -141.544834 -30.820143
1 15 -156.618061 -35.675422
1 16 -152.729574 -37.451238
1 17 -134.706728 -50.805966
1 18 -170.302399 -60.023877
1 19 -161.295737 -43.693582
1 20 -154.573086 -22.047785
1 2  3 -114.579194 -28.356424
1 2  4 -109.859501 -24.159101
1 2  5 -116.799547 -28.930565
1 2  6 -115.523891 -32.494765
1 2  7 -116.754540 -33.049356
1 2  8 -111.918345 -36.677974
1 2  9 -111.171814 -41.592348
1 2  10 -115.976941 -38.318916
1 2  11 -116.980244 -50.867265
1 2  12 -118.357227 -47.318836
1 2  13 -113.033464 -51.010248
1 2  14 -114.995188 -31.206358
1 2  15 -113.415498 -36.061638
1 2  16 -117.773431 -37.837454
1 2  17 -117.996263 -51.192181
1 2  18 -115.962322 -60.410092
1 2  19 -109.129062 -44.079797
1 2  20 -116.585933 -22.434000
1 3  4 -127.775575 -51.743093
1 3  5 -119.054127 -56.514557
1 3  6 -133.706141 -60.078757
1 3  7 -128.036455 -60.633348
1 3  8 -125.216955 -64.261967
1 3  9 -129.741084 -69.176341
1 3  10 -131.385333 -65.902909
1 3  11 -128.132673 -78.451258
1 3  12 -125.060959 -74.902828
1 3  13 -131.808175 -78.594241
1 3  14 -128.557061 -58.790351
1 3  15 -122.851736 -63.645630
1 3  16 -130.745945 -65.421446
1 3  17 -126.909655 -78.776174
1 3  18 -130.726205 -87.994085
1 3  19 -131.570224 -71.663790
1 3  20 -124.410642 -50.017993
1 4  5 -118.872968 -52.317234
1 4  6 -128.672977 -55.881435
1 4  7 -123.526410 -56.436025
1 4  8 -136.658874 -60.064644
1 4  9 -140.375268 -64.979018
1 4  10 -132.400829 -61.705586
1 4  11 -134.102661 -74.253935
1 4  12 -118.025512 -70.705505
1 4  13 -140.090612 -74.396918
1 4  14 -124.524013 -54.593028
1 4  15 -138.130867 -59.448308
1 4  16 -138.741254 -61.224123
1 4  17 -119.651361 -74.578851
1 4  18 -141.121589 -83.796762
1 4  19 -139.003718 -67.466467
1 4  20 -137.530144 -45.820670
1 5  6 -119.276187 -60.652898
1 5  7 -120.466737 -61.207489
1 5  8 -107.910843 -64.836107
1 5  9 -121.541655 -69.750482
1 5  10 -114.315261 -66.477050
1 5  11 -125.833857 -79.025399
1 5  12 -120.609218 -75.476969
1 5  13 -120.013476 -79.168382
1 5  14 -119.063617 -59.364492
1 5  15 -117.460310 -64.219771
1 5  16 -118.295003 -65.995587
1 5  17 -124.339854 -79.350315
1 5  18 -123.700697 -88.568226
1 5  19 -116.548323 -72.237931
1 5  20 -120.349842 -50.592134
1 6  7 -129.177243 -64.771689
1 6  8 -131.519770 -68.400308
1 6  9 -133.500168 -73.314682
1 6  10 -135.525223 -70.041250
1 6  11 -133.285869 -82.589599
1 6  12 -119.984417 -79.041169
1 6  13 -137.888193 -82.732582
1 6  14 -128.433232 -62.928692
1 6  15 -131.775457 -67.783972
1 6  16 -132.420443 -69.559787
1 6  17 -127.603377 -82.914515
1 6  18 -127.490545 -92.132426
1 6  19 -135.326948 -75.802131
1 6  20 -129.167352 -54.156334
1 7  8 -123.987279 -68.954898
1 7  9 -122.370661 -73.869273
1 7  10 -130.686950 -70.595841
1 7  11 -129.501757 -83.144190
1 7  12 -123.885836 -79.595760
1 7  13 -127.203694 -83.287173
1 7  14 -128.955765 -63.483283
1 7  15 -124.272395 -68.338562
1 7  16 -127.332772 -70.114378
1 7  17 -125.552519 -83.469106
1 7  18 -125.477485 -92.687017
1 7  19 -124.450139 -76.356722
1 7  20 -127.182239 -54.710925
1 8  9 -134.357355 -77.497891
1 8  10 -132.768008 -74.224459
1 8  11 -132.060284 -86.772808
1 8  12 -117.689452 -83.224378
1 8  13 -141.478689 -86.915791
1 8  14 -128.084649 -67.111901
1 8  15 -142.107983 -71.967181
1 8  16 -132.109311 -73.742996
1 8  17 -121.665065 -87.097724
1 8  18 -130.753866 -96.315635
1 8  19 -140.434985 -79.985340
1 8  20 -134.387381 -58.339543
1 9  10 -131.513192 -79.138833
1 9  11 -137.741877 -91.687183
1 9  12 -121.109387 -88.138753
1 9  13 -145.825060 -91.830165
1 9  14 -125.046255 -72.026275
1 9  15 -135.646064 -76.881555
1 9  16 -135.947717 -78.657371
1 9  17 -123.961498 -92.012098
1 9  18 -151.527750 -101.230009
1 9  19 -146.582179 -84.899715
1 9  20 -135.393344 -63.253917
1 10  11 -129.948032 -88.413751
1 10  12 -119.448691 -84.865321
1 10  13 -135.512986 -88.556733
1 10  14 -131.109618 -68.752843
1 10  15 -131.349505 -73.608123
1 10  16 -140.440191 -75.383939
1 10  17 -125.917996 -88.738666
1 10  18 -126.174272 -97.956577
1 10  19 -135.222053 -81.626282
1 10  20 -132.394196 -59.980485
1 11  12 -123.004324 -97.413670
1 11  13 -143.549490 -101.105082
1 11  14 -133.233657 -81.301193
1 11  15 -127.980212 -86.156472
1 11  16 -135.565408 -87.932288
1 11  17 -128.171115 -101.287016
1 11  18 -133.468502 -110.504927
1 11  19 -141.415151 -94.174632
1 11  20 -136.026395 -72.528835
1 12  13 -120.196498 -97.556652
1 12  14 -123.801382 -77.752763
1 12  15 -117.941888 -82.608042
1 12  16 -122.874514 -84.383858
1 12  17 -128.306047 -97.738586
1 12  18 -128.073663 -106.956497
1 12  19 -119.327577 -90.626202
1 12  20 -123.229675 -68.980405
1 13  14 -134.891269 -81.444175
1 13  15 -142.144915 -86.299455
1 13  16 -145.367903 -88.075270
1 13  17 -125.160926 -101.429998
1 13  18 -148.565321 -110.647909
1 13  19 -156.247120 -94.317614
1 13  20 -135.373255 -72.671817
1 14  15 -127.930740 -66.495565
1 14  16 -133.357697 -68.271381
1 14  17 -127.387087 -81.626108
1 14  18 -129.486482 -90.844019
1 14  19 -132.695973 -74.513725
1 14  20 -125.581061 -52.867927
1 15  16 -135.655821 -73.126660
1 15  17 -122.553544 -86.481388
1 15  18 -132.759840 -95.699299
1 15  19 -138.397761 -79.369004
1 15  20 -137.866199 -57.723207
1 16  17 -127.752345 -88.257204
1 16  18 -135.816609 -97.475115
1 16  19 -142.749285 -81.144820
1 16  20 -133.296938 -59.499023
1 17  18 -126.864159 -110.829842
1 17  19 -122.507139 -94.499548
1 17  20 -126.236427 -72.853750
1 18  19 -149.849312 -103.717459
1 18  20 -142.610491 -82.071661
1 19  20 -137.159426 -65.741367
2  -174.000000 0.000000
2 1 -115.635980 -0.386215
2 3 -54.857024 -2.480030
2 4 -123.845166 -37.846405
2 5 -61.360340 -1.509760
2 6 -43.675438 -8.822337
2 7 -44.196777 -0.000334
2 8 -100.640453 -0.443821
2 9 -140.317673 -14.336566
2 10 -44.232342 -0.528181
2 11 -91.704114 -11.001156
2 12 -40.951593 -4.861750
2 13 -110.883390 -44.624720
2 14 -71.012409 -3.146605
2 15 -116.213261 -15.653267
2 16 -92.694661 -15.907351
2 17 -46.893753 -17.745853
2 18 -171.700647 -33.278199
2 19 -114.441709 -37.796037
2 20 -136.400046 -28.238967
2 1  3 -43.890738 -2.866245
2 1  4 -82.968010 -38.232620
2 1  5 -49.776950 -1.895976
2 1  6 -32.543304 -9.208553
2 1  7 -35.738657 -0.386549
2 1  8 -72.851581 -0.830037
2 1  9 -87.677312 -14.722782
2 1  10 -32.627418 -0.914396
2 1  11 -64.540381 -11.387371
2 1  12 -33.211850 -5.247965
2 1  13 -73.134387 -45.010935
2 1  14 -55.322807 -3.532820
2 1  15 -82.862292 -16.039482
2 1  16 -61.000123 -16.293566
2 1  17 -36.816436 -18.132068
2 1  18 -86.078482 -33.664415
2 1  19 -74.416498 -38.182252
2 1  20 -97.711323 -28.625182
2 3  4 -48.098464 -40.326434
2 3  5 -26.947491 -3.989790
2 3  6 -24.906473 -11.302367
2 3  7 -24.895946 -2.480363
2 3  8 -45.103424 -2.923851
2 3  9 -49.811982 -16.816596
2 3  10 -27.939945 -3.008210
2 3  11 -38.654172 -13.481186
2 3  12 -24.499376 -7.341780
2 3  13 -34.004457 -47.104750
2 3  14 -27.055310 -5.626634
2 3  15 -46.569865 -18.133297
2 3  16 -32.625793 -18.387380
2 3  17 -28.910470 -20.225883
2 3  18 -37.050918 -35.758229
2 3  19 -34.567138 -40.276066
2 3  20 -46.233232 -30.718997
2 4  5 -54.451129 -39.356165
2 4  6 -33.927976 -46.668742
2 4  7 -39.286466 -37.846738
2 4  8 -78.111469 -38.290226
2 4  9 -93.786985 -52.182971
2 4  10 -33.670028 -38.374585
2 4  11 -82.646509 -48.847560
2 4  12 -36.138992 -42.708155
2 4  13 -84.213593 -82.471124
2 4  14 -56.104162 -40.993009
2 4  15 -82.793930 -53.499671
2 4  16 -69.951927 -53.753755
2 4  17 -42.335790 -55.592257
2 4  18 -98.980840 -71.124604
2 4  19 -86.874297 -75.642441
2 4  20 -97.467367 -66.085371
2 5  6 -26.720124 -10.332098
2 5  7 -29.217152 -1.510094
2 5  8 -39.725818 -1.953582
2 5  9 -43.744361 -15.846327
2 5  10 -28.125939 -2.037941
2 5  11 -55.741634 -12.510916
2 5  12 -36.702530 -6.371510
2 5  13 -49.929785 -46.134480
2 5  14 -37.734111 -4.656365
2 5  15 -45.176923 -17.163027
2 5  16 -48.196458 -17.417111
2 5  17 -39.486410 -19.255613
2 5  18 -43.770178 -34.787959
2 5  19 -51.017291 -39.305797
2 5  20 -50.821950 -29.748727
2 6  7 -25.508828 -8.822671
2 6  8 -29.013965 -9.266159
2 6  9 -30.536346 -23.158904
2 6  10 -36.461457 -9.350518
2 6  11 -29.228264 -19.823493
2 6  12 -29.611779 -13.684088
2 6  13 -42.429468 -53.447057
2 6  14 -30.828681 -11.968942
2 6  15 -35.961912 -24.475604
2 6  16 -41.338671 -24.729688
2 6  17 -28.680805 -26.568190
2 6  18 -37.127182 -42.100537
2 6  19 -42.596045 -46.618374
2 6  20 -35.025870 -37.061304
2 7  8 -31.335101 -0.444155
2 7  9 -30.009823 -14.336900
2 7  10 -27.495074 -0.528514
2 7  11 -32.334712 -11.001489
2 7  12 -22.892520 -4.862084
2 7  13 -38.487291 -44.625053
2 7  14 -39.784443 -3.146938
2 7  15 -36.277734 -15.653601
2 7  16 -36.378577 -15.907684
2 7  17 -23.625153 -17.746186
2 7  18 -33.259052 -33.278533
2 7  19 -38.089107 -37.796370
2 7  20 -40.772041 -28.239301
2 8  9 -82.709834 -14.780388
2 8  10 -29.219967 -0.972002
2 8  11 -55.773729 -11.444977
2 8  12 -30.437321 -5.305571
2 8  13 -59.040417 -45.068541
2 8  14 -43.063450 -3.590426
2 8  15 -92.089808 -16.097088
2 8  16 -48.295804 -16.351172
2 8  17 -34.910919 -18.189674
2 8  18 -81.777990 -33.722021
2 8  19 -58.260671 -38.239858
2 8  20 -80.851649 -28.682788
2 9  10 -28.666056 -14.864747
2 9  11 -73.466947 -25.337722
2 9  12 -30.182337 -19.198316
2 9  13 -79.438820 -58.961286
2 9  14 -47.345508 -17.483171
2 9  15 -87.225317 -29.989833
2 9  16 -50.302661 -30.243917
2 9  17 -35.184535 -32.082419
2 9  18 -124.155538 -47.614766
2 9  19 -79.893005 -52.132603
2 9  20 -105.882114 -42.575533
2 10  11 -29.866195 -11.529336
2 10  12 -27.569263 -5.389931
2 10  13 -40.190882 -45.152901
2 10  14 -35.477739 -3.674785
2 10  15 -34.692115 -16.181448
2 10  16 -43.410246 -16.435531
2 10  17 -25.143208 -18.274034
2 10  18 -31.206722 -33.806380
2 10  19 -40.460548 -38.324217
2 10  20 -40.310223 -28.767148
2 11  12 -37.652121 -15.862906
