1  -83.000000 0.000000
1 18  19 -66.868608 -Inf
1 18  20 -64.681429 -Inf
1 19  20 -66.862039 -Inf
2  -83.000000 0.000000
2 1 -54.526316 -81.238136
2 3 -31.925708 -220.298009
2 4 -51.655254 -674.742755
2 5 -36.489124 -487.686127
2 6 -23.006074 -396.565715
2 7 -24.132294 -0.040552
2 8 -57.399115 -604.158394
2 9 -62.781082 -590.702118
2 10 -23.216611 -404.494566
2 11 -42.525208 -655.487205
2 12 -23.231009 -Inf
2 13 -59.957417 -Inf
2 14 -31.783476 -191.231415
2 15 -64.630011 -Inf
2 16 -51.396211 -Inf
2 17 -23.701990 -Inf
2 18 -64.136221 -529.804737
2 19 -59.734600 -Inf
2 20 -54.788003 -Inf
2 1  3 -22.152776 -301.536145
2 1  4 -35.776049 -755.980890
2 1  5 -31.071208 -568.924263
2 1  6 -17.522139 -477.803851
2 1  7 -17.040949 -81.278688
2 1  8 -34.231181 -685.396529
2 1  9 -35.946730 -671.940254
2 1  10 -17.055410 -485.732702
2 1  11 -31.250620 -736.725340
2 1  12 -18.282259 -Inf
2 1  13 -37.740208 -Inf
2 1  14 -20.998371 -272.469550
2 1  15 -39.232364 -Inf
2 1  16 -33.938175 -Inf
2 1  17 -17.679181 -Inf
2 1  18 -39.401176 -611.042873
2 1  19 -39.258997 -Inf
2 1  20 -33.831417 -Inf
2 3  4 -21.745532 -895.040763
2 3  5 -14.067398 -707.984136
2 3  6 -12.690941 -616.863724
2 3  7 -13.126880 -220.338561
2 3  8 -24.696237 -824.456403
2 3  9 -27.470536 -811.000127
2 3  10 -18.369866 -624.792575
2 3  11 -19.002570 -875.785213
2 3  12 -15.521245 -Inf
2 3  13 -19.680789 -Inf
2 3  14 -13.449909 -411.529424
2 3  15 -26.250403 -Inf
2 3  16 -19.964936 -Inf
2 3  17 -13.783909 -Inf
2 3  18 -20.443754 -750.102746
2 3  19 -20.510156 -Inf
2 3  20 -23.697358 -Inf
2 4  5 -29.353086 -1162.428882
2 4  6 -15.145940 -1071.308470
2 4  7 -19.214210 -674.783307
2 4  8 -38.815171 -1278.901148
2 4  9 -33.524804 -1265.444873
2 4  10 -14.844791 -1079.237321
2 4  11 -37.593439 -1330.229959
2 4  12 -18.885366 -Inf
2 4  13 -39.978982 -Inf
2 4  14 -24.047409 -865.974169
2 4  15 -42.247306 -Inf
2 4  16 -31.653146 -Inf
2 4  17 -21.914957 -Inf
2 4  18 -34.649423 -1204.547492
2 4  19 -38.477354 -Inf
2 4  20 -39.110780 -Inf
